study	unique_study_id	file	chr	bp	min_p	cis_trans	ld_region	known_gene	suspected_gene
ebi-a-GCST90014002	ebi-a-GCST90014002_EUR_1_1538046_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90014002/finemapped/EUR_1_1538046_1.tsv.gz	1	1538046	2.6329947914971693e-10	NA	EUR/1/10583_1892606	NA	NA
ebi-a-GCST90028995	ebi-a-GCST90028995_EUR_1_1748361_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028995/finemapped/EUR_1_1748361_1.tsv.gz	1	1748361	1.2999899653754527e-9	NA	EUR/1/10583_1892606	NA	GNB1
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_1_3328659_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_1_3328659_1.tsv.gz	1	3328659	2.8492584906300484e-26	NA	EUR/1/1892607_3582735	NA	PRDM16
ebi-a-GCST90000059	ebi-a-GCST90000059_EUR_1_3328659_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90000059/finemapped/EUR_1_3328659_2.tsv.gz	1	1900232	7.056531321800994e-7	NA	EUR/1/1892607_3582735	NA	CFAP74
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_1_3104972_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_1_3104972_1.tsv.gz	1	3104972	8.0797886368308645e-22	NA	EUR/1/1892607_3582735	NA	PRDM16
ebi-a-GCST90002304	ebi-a-GCST90002304_EUR_1_3318769_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002304/finemapped/EUR_1_3318769_1.tsv.gz	1	3318769	8.0797886368308645e-22	NA	EUR/1/1892607_3582735	NA	PRDM16
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_1_2220070_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_1_2220070_1.tsv.gz	1	2220070	1.2100407608569512e-31	NA	EUR/1/1892607_3582735	NA	SKI
ebi-a-GCST90002334	ebi-a-GCST90002334_EUR_1_2996602_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90002334/finemapped/EUR_1_2996602_1.tsv.gz	1	2996602	1.2100407608569512e-31	NA	EUR/1/1892607_3582735	NA	PRDM16
ebi-a-GCST90013979	ebi-a-GCST90013979_EUR_1_2996602_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90013979/finemapped/EUR_1_2996602_1.tsv.gz	1	2996602	1.1765218576672235e-27	NA	EUR/1/1892607_3582735	NA	PRDM16
ebi-a-GCST90025971	ebi-a-GCST90025971_EUR_1_2994717_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90025971/finemapped/EUR_1_2994717_1.tsv.gz	1	2994717	1.6000000638979344e-10	NA	EUR/1/1892607_3582735	NA	PRDM16
